Unnamed: 0,class,cap_shape,cap_surface,cap_color,bruises,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_color,ring_number,ring_type,spore_print_color,population,habitat
2830,edible,convex,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,black,several,woods
5582,edible,flat,scaly,brown,no,none,free,crowded,narrow,white,enlarging,bulbous,fibrous,smooth,white,brown,white,one,evanescent,white,several,leaves
848,edible,bell,smooth,yellow,yes,anise,free,close,broad,black,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
4408,poisonous,flat,scaly,gray,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,solitary,grasses
7531,edible,convex,smooth,brown,no,none,attached,close,broad,brown,enlarging,none,smooth,smooth,orange,orange,orange,one,pendant,buff,clustered,leaves
786,edible,convex,fibrous,brown,no,none,free,close,narrow,brown,enlarging,equal,smooth,smooth,white,white,white,one,pendant,black,several,urban
6341,poisonous,flat,smooth,brown,no,foul,free,close,narrow,buff,tapering,none,silky,silky,pink,pink,white,one,evanescent,white,several,leaves
3987,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,brown,buff,white,one,large,chocolate,solitary,grasses
7375,edible,convex,smooth,brown,no,none,attached,close,broad,orange,enlarging,none,smooth,smooth,orange,orange,brown,one,pendant,buff,several,leaves
4683,poisonous,flat,fibrous,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,solitary,paths
7884,poisonous,knobbed,smooth,brown,no,fishy,free,close,narrow,buff,tapering,none,silky,smooth,pink,pink,white,one,evanescent,white,several,leaves
6468,poisonous,convex,smooth,red,no,fishy,free,close,narrow,buff,tapering,none,silky,silky,white,pink,white,one,evanescent,white,several,woods
6509,edible,convex,fibrous,white,no,none,free,crowded,broad,pink,enlarging,none,silky,smooth,white,white,white,two,pendant,white,numerous,grasses
220,edible,convex,smooth,white,yes,almond,free,close,broad,brown,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,meadows
301,edible,bell,scaly,white,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,black,scattered,grasses
5793,poisonous,bell,scaly,white,yes,none,free,close,broad,gray,enlarging,bulbous,smooth,smooth,white,white,white,two,pendant,green,several,grasses
3700,edible,convex,scaly,brown,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,brown,solitary,woods
5517,poisonous,convex,scaly,brown,no,fishy,free,close,narrow,buff,tapering,none,smooth,silky,pink,pink,white,one,evanescent,white,several,woods
6323,poisonous,flat,scaly,brown,no,spicy,free,close,narrow,buff,tapering,none,silky,smooth,pink,white,white,one,evanescent,white,several,paths
8070,poisonous,knobbed,scaly,red,no,spicy,free,close,narrow,buff,tapering,none,silky,silky,white,white,white,one,evanescent,white,several,leaves
2193,edible,convex,scaly,red,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,black,solitary,woods
2214,edible,flat,fibrous,brown,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,white,one,pendant,brown,several,woods
7425,edible,flat,smooth,brown,no,none,attached,close,broad,yellow,enlarging,none,smooth,smooth,orange,orange,brown,one,pendant,buff,clustered,leaves
3847,edible,flat,scaly,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,brown,solitary,woods
4564,poisonous,convex,scaly,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,buff,brown,white,one,large,chocolate,solitary,paths
5628,edible,convex,scaly,red,yes,none,free,close,broad,red,enlarging,none,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste
7797,edible,convex,smooth,white,no,none,free,crowded,broad,white,enlarging,none,smooth,smooth,white,white,white,two,pendant,white,scattered,grasses
4326,edible,convex,scaly,green,no,none,free,close,narrow,pink,enlarging,none,smooth,fibrous,white,white,white,one,flaring,chocolate,several,woods
2366,edible,convex,fibrous,red,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,black,several,woods
6550,poisonous,knobbed,smooth,red,no,foul,free,close,narrow,buff,tapering,none,smooth,silky,pink,pink,white,one,evanescent,white,several,paths
4272,poisonous,convex,scaly,yellow,no,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,pink,white,one,large,chocolate,several,woods
4251,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,brown,white,one,large,chocolate,solitary,grasses
4594,poisonous,convex,fibrous,yellow,no,foul,free,close,broad,chocolate,enlarging,bulbous,silky,silky,buff,pink,white,one,large,chocolate,several,woods
7986,edible,bell,scaly,brown,no,none,free,close,broad,white,enlarging,bulbous,scaly,scaly,brown,brown,white,two,pendant,white,solitary,paths
5873,poisonous,flat,smooth,gray,yes,foul,free,close,broad,white,tapering,bulbous,fibrous,smooth,white,white,white,one,pendant,chocolate,several,urban
7115,poisonous,convex,smooth,red,no,spicy,free,close,narrow,buff,tapering,none,silky,silky,white,white,white,one,evanescent,white,several,leaves
5624,edible,convex,scaly,buff,yes,none,free,close,broad,red,enlarging,none,smooth,smooth,red,red,white,two,evanescent,white,clustered,waste
2817,edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,fibrous,fibrous,white,white,white,one,evanescent,black,scattered,grasses
5593,poisonous,flat,scaly,pink,yes,none,free,close,broad,green,enlarging,bulbous,smooth,smooth,white,white,white,two,pendant,green,several,meadows
6886,poisonous,knobbed,scaly,brown,no,fishy,free,close,narrow,buff,tapering,none,smooth,silky,pink,pink,white,one,evanescent,white,several,woods
557,edible,convex,fibrous,white,yes,anise,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
2517,edible,convex,fibrous,red,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,black,solitary,woods
7033,edible,knobbed,smooth,brown,no,none,attached,close,broad,orange,enlarging,none,smooth,smooth,orange,orange,brown,one,pendant,brown,clustered,leaves
3206,edible,flat,scaly,gray,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,pink,gray,white,one,pendant,black,several,woods
7523,edible,flat,smooth,brown,no,none,attached,close,broad,orange,enlarging,none,smooth,smooth,orange,orange,orange,one,pendant,brown,clustered,leaves
878,edible,flat,scaly,yellow,yes,anise,free,close,broad,white,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,brown,solitary,grasses
2643,edible,flat,scaly,brown,yes,none,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,black,several,woods
6751,poisonous,flat,scaly,red,no,fishy,free,close,narrow,buff,tapering,none,silky,smooth,white,white,white,one,evanescent,white,several,woods
5619,edible,flat,scaly,buff,yes,none,free,close,broad,white,enlarging,none,smooth,smooth,white,red,white,two,evanescent,white,clustered,waste
5800,poisonous,convex,scaly,yellow,no,none,free,close,narrow,white,enlarging,none,silky,scaly,white,yellow,white,one,evanescent,white,several,woods
5041,poisonous,convex,scaly,brown,no,spicy,free,close,narrow,buff,tapering,none,silky,silky,white,white,white,one,evanescent,white,several,leaves
1517,edible,flat,fibrous,brown,no,none,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,white,one,evanescent,brown,scattered,grasses
7832,poisonous,knobbed,scaly,red,no,fishy,free,close,narrow,buff,tapering,none,smooth,silky,pink,white,white,one,evanescent,white,several,leaves
7653,poisonous,knobbed,scaly,red,no,spicy,free,close,narrow,buff,tapering,none,smooth,smooth,pink,white,white,one,evanescent,white,several,woods
7746,edible,convex,smooth,white,no,none,free,crowded,broad,pink,enlarging,none,silky,silky,white,white,white,two,pendant,white,numerous,grasses
2172,edible,flat,fibrous,gray,yes,none,free,close,broad,brown,tapering,bulbous,smooth,smooth,gray,gray,white,one,pendant,brown,several,woods
1825,edible,flat,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,white,one,evanescent,black,scattered,grasses
500,edible,convex,smooth,yellow,yes,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,white,one,pendant,brown,numerous,grasses
5961,edible,convex,scaly,brown,yes,none,free,close,broad,white,enlarging,none,smooth,smooth,red,white,white,two,evanescent,white,clustered,waste
1180,edible,convex,scaly,brown,yes,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,white,one,pendant,black,solitary,paths
6299,poisonous,convex,smooth,brown,no,fishy,free,close,narrow,buff,tapering,none,silky,silky,white,white,white,one,evanescent,white,several,paths
172,edible,convex,fibrous,yellow,yes,anise,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,white,one,pendant,purple,several,woods
7976,edible,bell,fibrous,white,no,none,free,crowded,broad,gray,enlarging,none,silky,smooth,white,white,white,two,pendant,white,numerous,grasses
2615,edible,convex,scaly,brown,yes,none,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,white,one,pendant,black,solitary,woods
2775,edible,convex,fibrous,red,yes,none,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,pink,white,one,pendant,brown,solitary,woods
7540,edible,convex,smooth,white,no,none,free,crowded,broad,pink,enlarging,none,silky,smooth,white,white,white,two,pendant,white,numerous,grasses
